id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DLDM-2020-09-14,LLORET_DE_MAR,3449800,6477.7,5047.5,407.14,,,,,,,,,,10510,0,,false,
DLDM-2020-09-28,LLORET_DE_MAR,7153700,3024.9,1631.8,,,,,,,,,,,11450,0,,false,
DLDM-2020-10-12,LLORET_DE_MAR,967200,3544.5,13343,214.29,,,,,,,,,,9130,0,,false,
DLLE-2020-07-06,LLEIDA,44270000,,51557,,115030,,,,,,,,,62042,0,,false,
DLLE-2020-07-13,LLEIDA,21856000,,17983,,450,,,,,,,,,67036,0,,false,
DLLE-2020-07-20,LLEIDA,95907000,,8214.1,,540,,,,,,,,,65165,0,,false,
DLLE-2020-07-27,LLEIDA,24170000,,211560,,62244,,,,,,,,,62624,0,,false,
DLLE-2020-08-03,LLEIDA,88323000,480,480,,,,,,,,,,,63580,0,,false,
DLLE-2020-08-10,LLEIDA,508010000,300,9398.6,,,,,,,,,,,65984,,,false,
DLLE-2020-08-17,LLEIDA,,420,12135,,420,,,174020000,,,,,,67815,,Valor Puntual,false,
DLLE-2020-08-25,LLEIDA,450,450,727.07,,450,,,,,,,,,,,,false,
DLLE-2020-08-31,LLEIDA,142.86,142.86,10761,,,,,,,,,,,64364,0,Canvi metodològic,false,
DLLE-2020-09-07,LLEIDA,20372000,178.57,1714.7,,,178.57,178.57,,,,,,,66657,0,,true,
DLLE-2020-09-14,LLEIDA,9515500,214.29,214.29,,,,,,,,,,,70292,0,,false,
DLLE-2020-09-21,LLEIDA,3069800,142.86,16749,,,,,,,,,,,71275,0,,true,
DLLE-2020-09-28,LLEIDA,18873000,171.43,4862.3,,,,,,,,,,,59994,0,,false,
DLLE-2020-10-05,LLEIDA,390370000,11867,78268,,,,,,,,,,,53279,0,,false,
DLLE-2020-10-12,LLEIDA,70308000,34250,33872,,,,,,,,,,,46199,0,,false,
DLLL-2020-07-06,LLAGOSTA_LA,,,100,,100,,,,,1011.1,,,439110000,34620,0,,true,
DLLL-2020-07-20,LLAGOSTA_LA,,,3099.4,,148.15,,,,24531,2811.3,,,,35242,0,,false,
DLLL-2020-08-03,LLAGOSTA_LA,,,5854.1,,,,,,2812.3,6963.8,,,,27565,0,,false,
DLLL-2020-08-17,LLAGOSTA_LA,,,4297.7,,,,,,2409.9,8836.1,,,,28289,0,,false,
DLLL-2020-08-31,LLAGOSTA_LA,,,34246,,,,,,759640,9327.3,,,,30000,0,,false,
DLLL-2020-09-14,LLAGOSTA_LA,,,169490,,,,,,436320,90612,,,,29989,0,,false,
DLLL-2020-09-28,LLAGOSTA_LA,,,136200,,,,,,1792000,135320,,,,28270,0,,false,
DLLL-2020-10-12,LLAGOSTA_LA,,,2501400,,,,,,1933200,265150,,,,24041,0,,false,
DMAN-2020-07-13,MANLLEU,5763700,,1658.7,8945,400,,,,,,,,,9582,0,,true,
